num,variance
1,0.9064860145888674
2,0.04134836328521421
3,0.023165559334541275
4,0.00783461416132617
5,0.004598808092600231
6,0.0030784809713375327
7,0.0016233315883028563
8,0.00141948519292239
9,0.0010601916279692977
10,0.0009423526051860976
11,0.0007209734335801652
12,0.0006712885230268017
13,0.0006336102670819677
14,0.0005519500157476941
15,0.0004913894254100038
16,0.00042035127933474816
17,0.0004162340150049323
18,0.00037737300647991314
19,0.00035717718538344565
20,0.0003310902369500208
21,0.0003023435701926715
22,0.0003001202413603515
23,0.00027096874340109455
24,0.0002624829007909189
25,0.0002551720234631234
26,0.00024456670517686286
27,0.00022900392588710776
28,0.00021735595266508332
29,0.0002095619110637126
30,0.00019851779984637018
31,0.00018088553139909976
32,0.00017904446648544077
33,0.0001647421570262527
34,0.00016094499873816286
35,0.0001550391787338408
36,0.0001406110575028548
37,1.787728445096903e-31
