num,variance
1,0.4659229354470399
2,0.29967660869651047
3,0.08470435407617222
4,0.053021355148336086
5,0.027742645300444884
6,0.02019379955582595
7,0.015220193575142728
8,0.010915211778241297
9,0.005243840121283162
10,0.004037711949004802
11,0.0027520963964029277
12,0.0019849563390999265
13,0.0016852759206664447
14,0.001319047785419205
15,0.0012520574968293687
16,0.0009329686428101304
17,0.0008290893439716533
18,0.0006666858882647413
19,0.00044147704389153354
20,0.0003266239899736466
21,0.000291202864993808
22,0.0002368390933224389
23,0.00019192037880573403
24,0.00012053755197677489
25,8.703199829765652e-05
26,6.647497074260841e-05
27,5.121536628221794e-05
28,3.8324278217671104e-05
29,3.128540207858979e-05
30,9.995354146936281e-06
31,5.938600949378175e-06
32,2.996448549719229e-07
33,1.4414179169481819e-30
34,1.0321936125740895e-30
35,8.699008255179877e-31
36,8.327391458489232e-31
37,8.03954737267338e-31
38,7.837503818110153e-31
39,7.766833209763381e-31
40,7.65602604326787e-31
41,7.348200782901898e-31
42,7.2923344398652105e-31
43,7.209003323045148e-31
44,7.14347757971156e-31
45,7.139619198121129e-31
46,7.119740351819246e-31
47,6.919357710910104e-31
48,6.8599359875746915e-31
49,6.7842317917731695e-31
50,6.714323232085936e-31
51,6.5595151112529215e-31
52,6.527590347309466e-31
53,6.427194400434838e-31
54,6.377145046735747e-31
55,6.280280613331064e-31
56,6.198387030299158e-31
57,6.163162659274382e-31
58,5.97006040685579e-31
59,5.836124704834932e-31
60,5.432947334033652e-31
61,5.314504492751361e-31
62,4.703367806396627e-31
